City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
195,Cayenne,GF,4.9333,-52.3333,80.1,86,75,5.99,broken clouds
196,Placido De Castro,BR,-10.3353,-67.1856,72.05,92,100,3.38,moderate rain
197,Takoradi,GH,4.8845,-1.7554,78.87,86,100,5.26,overcast clouds
198,Namtsy,RU,62.7161,129.6658,-32.69,95,99,2.21,overcast clouds
199,Plasnica,MK,41.4672,21.1231,21.11,90,9,5.37,clear sky
200,Bonavista,CA,48.6499,-53.1147,13.12,64,55,19.15,broken clouds
201,Asheville,US,35.6009,-82.554,35.55,63,0,1.99,clear sky
202,Shahreza,IR,32.0339,51.8794,30.31,53,0,4.25,clear sky
203,Ilulissat,GL,69.2167,-51.1,3.22,66,100,10.36,overcast clouds
204,Lerwick,GB,60.1545,-1.1494,39.2,55,63,30.22,broken clouds
205,Rodrigues Alves,BR,-7.738,-72.6509,73.76,96,100,1.63,overcast clouds
206,Ugoofaaru,MV,5.6667,73.0,80.74,71,66,10.07,broken clouds
207,Coihaique,CL,-45.5752,-72.0662,68.61,63,0,3.44,clear sky
208,Lucea,JM,18.451,-78.1736,78.66,77,5,8.3,clear sky
209,Yumen,CN,40.2833,97.2,15.58,63,100,10.69,overcast clouds
210,Biak,ID,-0.9131,122.8766,83.59,65,99,1.9,overcast clouds
211,Louis Trichardt,ZA,-23.0439,29.9032,61.75,89,71,10.49,broken clouds
212,Ponta Do Sol,PT,32.6667,-17.1,63.23,68,7,10.65,clear sky
213,Port Hardy,CA,50.6996,-127.4199,46.76,81,75,20.71,light intensity shower rain
214,Ayame,CI,5.6083,-3.1563,74.12,92,100,1.81,light rain
215,Bonthe,SL,7.5264,-12.505,76.69,90,95,2.75,overcast clouds
216,Piterka,RU,50.6803,47.4454,3.36,100,76,3.51,broken clouds
217,Qasigiannguit,GL,68.8193,-51.1922,3.45,97,100,9.33,light snow
218,Upington,ZA,-28.4478,21.2561,70.18,78,20,9.22,few clouds
219,Mount Isa,AU,-20.7333,139.5,89.37,37,40,10.36,scattered clouds
220,Balvi,LV,57.1313,27.2658,32.36,98,100,10.25,snow
221,Zarate,AR,-34.0981,-59.0286,65.95,76,3,4.0,clear sky
222,Kristiinankaupunki,FI,62.2743,21.376,23.79,99,55,8.43,broken clouds
223,Stavyshche,UA,50.4,29.5333,35.53,97,100,13.85,light snow
224,Henties Bay,NA,-22.116,14.2845,67.86,83,93,5.19,overcast clouds
225,Zhangjiakou,CN,40.81,114.8794,20.64,40,100,4.05,overcast clouds
226,Kosh-Agach,RU,50.0,88.6667,-20.49,83,57,1.28,broken clouds
